,Arrondissement_x,Code INSEE commune_x,Type implantation,Nombre point de recharge,Paiement CB,Accessibilité PMR,Restriction gabarit,Stationnement 2 roues,Puissance max KW,Statut du point de recharge,Type de chargeur,latitude,longitude,Arrondissement_x_encode,Type implantation_encode,Paiement CB_encode,Accessibilité PMR_encode,Restriction gabarit_encode,Stationnement 2 roues_encode,Statut du point de recharge_encode,Type de chargeur_encode
652,17e Arrondissement,75117.0,Voirie,6,True,Non accessible,aucune restriction,True,3.0,Disponible,Prise type EF,48.878258,2.2967632,12,1,1,0,1,1,0,3
653,17e Arrondissement,75117.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.88112,2.284095,12,1,1,0,1,0,0,3
654,15e Arrondissement,75115.0,Voirie,7,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.845806,2.3038075,10,1,1,0,1,0,1,3
655,15e Arrondissement,75115.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.838886,2.2892983,10,1,1,0,1,0,1,3
656,15e Arrondissement,75115.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.83892,2.282485,10,1,1,0,1,0,1,3
657,15e Arrondissement,75115.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.842594,2.2920513,10,1,1,0,1,0,0,3
658,16e Arrondissement,75116.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.85666,2.2856026,11,1,1,0,1,0,1,3
659,15e Arrondissement,75115.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.837364,2.3059905,10,1,1,0,1,0,1,3
660,16e Arrondissement,75116.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.850998,2.2719011,11,1,1,0,1,0,1,3
661,16e Arrondissement,75116.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.8531,2.261698,11,1,1,0,1,0,0,3
662,20e Arrondissement,75120.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.86986,2.38494,15,1,1,0,1,0,1,3
663,15e Arrondissement,75115.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.85482,2.2904053,10,1,1,0,1,0,0,3
664,16e Arrondissement,75116.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.859756,2.278694,11,1,1,0,1,0,1,3
665,19e Arrondissement,75119.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.88101,2.3978,14,1,1,0,1,0,0,3
666,Paris centre,75102.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.86502,2.344388,16,1,1,0,1,0,0,3
667,Paris centre,75102.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.86502,2.344388,16,1,1,0,1,0,0,3
668,Paris centre,75104.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.851254,2.3564553,16,1,1,0,1,0,1,3
669,05e Arrondissement,75105.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.842007,2.3430684,0,1,1,0,1,0,0,3
670,Paris centre,75104.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.8542,2.345341,16,1,1,0,1,0,0,3
671,Paris centre,75104.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.8542,2.345341,16,1,1,0,1,0,1,3
672,07e Arrondissement,75107.0,Voirie,6,True,Non accessible,aucune restriction,True,3.0,Disponible,Prise type EF,48.85807,2.299582,2,1,1,0,1,1,0,3
673,08e Arrondissement,75108.0,Voirie,5,True,Non accessible,aucune restriction,True,3.0,Disponible,Prise type EF,48.8737,2.314663,3,1,1,0,1,1,0,3
674,08e Arrondissement,75108.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.8737,2.314663,3,1,1,0,1,0,0,3
675,09e Arrondissement,75109.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.871643,2.3338861,4,1,1,0,1,0,0,3
676,06e Arrondissement,75106.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.85245,2.3314662,1,1,1,0,1,0,0,3
677,08e Arrondissement,75108.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.86821,2.3046348,3,1,1,0,1,0,1,3
678,12e Arrondissement,75112.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.845577,2.3953738,7,1,1,0,1,0,0,3
679,10e Arrondissement,75110.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.87081,2.354076,5,1,1,0,1,0,0,3
682,14e Arrondissement,75114.0,Voirie,7,True,Réservé PMR,aucune restriction,False,7.0,Disponible,Prise type EF,48.83273,2.32608,9,1,1,1,1,0,0,3
683,14e Arrondissement,75114.0,Voirie,7,True,Non accessible,aucune restriction,True,3.0,Disponible,Prise type EF,48.83273,2.32608,9,1,1,0,1,1,0,3
684,13e Arrondissement,75113.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.820423,2.3512075,8,1,1,0,1,0,0,3
685,13e Arrondissement,75113.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.83623,2.3724644,8,1,1,0,1,0,0,3
